malamute de alaska,3,Entre 31 Kg y 39 Kg,United States of America,http://www.perros.com/razas/malamute-de-alaska/
mastin,gigante,Entre 75 Kg y 95 Kg,United Kingdom,http://www.perros.com/razas/mastin/
mastin napolitano,3,Entre 50 Kg y 70 Kg,Italy,http://www.perros.com/razas/mastin-napolitano/
mastin tibetano,gigante,,China,http://www.perros.com/razas/mastin-tibetano/
mudi,2,Entre 8 Kg y 13 Kg,Hungary,http://www.perros.com/razas/mudi/
munsterlander 3,3,,Germany,http://www.perros.com/razas/munsterlander-3/
munsterlander 1,2,,Germany,http://www.perros.com/razas/munsterlander-1/
otterhound,2,,United Kingdom,http://www.perros.com/razas/otterhound/
papillon,1,Entre 1.5 Kg y 5 Kg,France,http://www.perros.com/razas/papillon/
parson russell terrier,2,Entre 5 Kg y 6 Kg,United Kingdom,http://www.perros.com/razas/parson-russell-terrier/
pastor aleman,3,Entre 22 Kg y 40 Kg,Germany,http://www.perros.com/razas/pastor-aleman/
pastor australiano,3,Entre 18 Kg y 27 Kg,Australia,http://www.perros.com/razas/pastor-australiano/
pastor belga,3,Alrededor de 30 Kg,Belgium,http://www.perros.com/razas/pastor-belga/
pastor blanco suizo,3,Entre 25 Kg y 40 Kg,Switzerland,http://www.perros.com/razas/pastor-blanco-suizo/
pastor catalan,3,Entre 18 Kg y 22 Kg,Spain,http://www.perros.com/razas/pastor-catalan/
pastor de anatolia,3,Entre 36 Kg y 52 Kg,Turkey,http://www.perros.com/razas/pastor-de-anatolia/
pastor de beauce,3,Entre 30 Kg y 38 Kg,France,http://www.perros.com/razas/pastor-de-beauce/
pastor de los pirineos,1,,France,http://www.perros.com/razas/pastor-de-los-pirineos/
pastor de shetland,2,,United Kingdom,http://www.perros.com/razas/pastor-de-shetland/
pastor polaco de tierras bajas,2,,Poland,http://www.perros.com/razas/pastor-polaco-de-tierras-bajas/
1 basset grifon vendeano,1,Entre 15 Kg y 20 Kg,France,http://www.perros.com/razas/1-basset-grifon-vendeano/
1 brabanzon,1,Entre 3.5 Kg y 6 Kg,Belgium,http://www.perros.com/razas/1-brabanzon/
1 perro holandes para la caza acuatica,1,,Holanda,http://www.perros.com/razas/1-perro-holandes-para-la-caza-acuatica/
pequines,1,Entre 2 Kg y 8 Kg,China,http://www.perros.com/razas/pequines/
perdiguero de burgos,3,,Spain,http://www.perros.com/razas/perdiguero-de-burgos/
perdiguero de drente,3,,Holanda,http://www.perros.com/razas/perdiguero-de-drente/
perdiguero portugues,1,Entre 16 Kg y 27 Kg,Portugal,http://www.perros.com/razas/perdiguero-portugues/
perro boyero de entlebuch,1,,Switzerland,http://www.perros.com/razas/perro-boyero-de-entlebuch/
perro crestado chino,1,Entre 2.7 Kg y 5.5 Kg,China,http://www.perros.com/razas/perro-crestado-chino/
perro de agua americano,2,Entre 12 Kg y 20 Kg,United States of America,http://www.perros.com/razas/perro-de-agua-americano/
perro de agua espanol,2,Entre 14 Kg y 22 Kg,Spain,http://www.perros.com/razas/perro-de-agua-espanol/
perro de aguas portugues,2,Entre 16 Kg y 27 Kg,Portugal,http://www.perros.com/razas/perro-de-aguas-portugues/
